Bug,Framework,Source of Bug,Bug Type,Root Cause,Symptom
https://stackoverflow.com/questions/61882422/tensorflow-federated-learning-from-keras-model-no-longer-contains-dummy-bat,SO,FL application,Framework evolution,API Evolution Issue,Crash
https://stackoverflow.com/questions/66304067/error-while-executing-federated-learning-text-generation-tutorial-in-colab,SO,FL framework,Data loading & processing,FL Framework Evolution,Crash
https://stackoverflow.com/questions/69325272/tff-runtimeerror-attempting-to-capture-an-eagertensor-without-building-a-functi,SO,FL application,Model building,"Incorrect Data Type, Shape & Format",Crash
https://stackoverflow.com/questions/69619028/access-and-modify-weights-sent-from-client-on-the-server-tensorflow-federated,SO,FL application,Aggregation & Update,Incorrect FL Algorithm Implementation,Crash
https://stackoverflow.com/questions/60202610/pysyft-federated-learning-error-with-websockets,SO,FL framework,FL Configuration,Improper Interaction Initialization/Establiah,Crash
https://stackoverflow.com/questions/66680070/attributeerror-type-object-tensor-has-no-attribute-fft,SO,FL application,Dependency,Dependency Incompatibility,Crash
https://stackoverflow.com/questions/61850455/could-not-find-a-version-that-satisfies-the-requirement-torch-1-4-0-from-syft,SO,FL application,Deployment,Incorrect deployment,Deployment Failure
https://stackoverflow.com/questions/66483639/attributeerror-module-syft-has-no-attribute-torchhook,SO,FL framework,Framework evolution,FL Framework Evolution,Crash
https://stackoverflow.com/questions/65236793/multiple-values-for-argument,SO,FL application,Model building,Model Initialization Issue,Crash
https://stackoverflow.com/questions/60365627/syft-pysyft-modulenotfounderror-syft-proto-messaging-v1-protocol-pb2,SO,FL framework,Framework evolution,FL Framework Evolution,Crash
https://stackoverflow.com/questions/59741397/federated-learning-convert-my-own-image-dataset-into-tff-simulation-clientdata,SO,FL application,Data loading & processing,"Incorrect Data Type, Shape & Format",Crash
https://stackoverflow.com/questions/65578498/tff-valueerror-shapes-none-1-and-none-are-incompatible,SO,FL application,Data loading & processing,"Incorrect Data Type, Shape & Format",Crash
https://stackoverflow.com/questions/67533039/tensorflow-keras-input-0-of-layer-lstm-is-incompatible-with-the-layer-expec,SO,FL application,Model building,Unsuitable ML/DL Algorithm Selection,Crash
https://stackoverflow.com/questions/60815004/modulenotfounderror-no-module-named-tensorflow-federated-python-research,SO,FL application,Deployment,Incorrect deployment,Deployment Failure
https://stackoverflow.com/questions/60920524/error-while-using-gpu-based-remote-execution-with-tensorflow-federated,SO,FL application,Deployment,Incorrect deployment,Deployment Failure
https://stackoverflow.com/questions/60982530/valueerror-tensorcnn-conv2d-kernel0-shape-dtype-resource-must-be-from,SO,FL application,Model building,Model Initialization Issue,Crash
https://stackoverflow.com/questions/60866002/pysyft-client-and-server,SO,FL application,FL Configuration,Incorrect Interaction Closing,Crash
https://stackoverflow.com/questions/59484278/pureframeworktensorfounderror-runtime-error-fedeartedlearning,SO,FL application,Data loading & processing,Incorrect Data Split,Crash
https://stackoverflow.com/questions/68018178/federated-learning-for-image-classification-in-colab,SO,FL application,Framework evolution,API Evolution Issue,Crash
https://stackoverflow.com/questions/58367187/modulenotfounderror-no-module-named-syft-pysyft,SO,FL application,Dependency,Wrong Dependency Import,Crash
https://stackoverflow.com/questions/57581345/change-model-in-tensorflow-federated-but-not-work,SO,FL application,Model building,Model Initialization Issue,Crash
